"","districtnum","districtname","population","affil","familyname","firstname","middlename","provcode","province","gender"
"406",24044,"Louis-Hébert",104038,"New Democratic Party","Blanchette","Denis",NA,"24","Quebec","Male"
"407",24044,"Louis-Hébert",104038,"Christian Heritage Party of Canada","Jetchick","Stefan",NA,"24","Quebec","Male"
"408",24044,"Louis-Hébert",104038,"Liberal Party of Canada","Lightbound","Joël",NA,"24","Quebec","Male"
"409",24044,"Louis-Hébert",104038,"Bloc Québécois","Pageau","Caroline",NA,"24","Quebec","Female"
"410",24045,"Louis-Saint-Laurent",106888,"New Democratic Party","Caron","G.","Daniel","24","Quebec","Male"
"411",24045,"Louis-Saint-Laurent",106888,"Conservative Party of Canada","Deltell","Gérard",NA,"24","Quebec","Male"
"412",24045,"Louis-Saint-Laurent",106888,"Liberal Party of Canada","Rousseau","Youri",NA,"24","Quebec","Male"
"413",24045,"Louis-Saint-Laurent",106888,"Green Party of Canada","Savard","Michel",NA,"24","Quebec","Male"
"414",24045,"Louis-Saint-Laurent",106888,"Bloc Québécois","Sirard","Ronald",NA,"24","Quebec","Male"
"415",24046,"Manicouagan",94766,"Conservative Party of Canada","Boudreau","Yvon",NA,"24","Quebec","Male"
"416",24046,"Manicouagan",94766,"New Democratic Party","Genest-Jourdain","Jonathan",NA,"24","Quebec","Male"
"417",24046,"Manicouagan",94766,"Bloc Québécois","Gill","Marilène",NA,"24","Quebec","Female"
"418",24046,"Manicouagan",94766,"Green Party of Canada","Grills","Nathan",NA,"24","Quebec","Male"
"419",24046,"Manicouagan",94766,"Liberal Party of Canada","Tremblay","Mario",NA,"24","Quebec","Male"
"420",24047,"Mégantic--L'Érable",88745,"Liberal Party of Canada","Berthiaume","David",NA,"24","Quebec","Male"
"421",24047,"Mégantic--L'Érable",88745,"Conservative Party of Canada","Berthold","Luc",NA,"24","Quebec","Male"
"422",24047,"Mégantic--L'Érable",88745,"New Democratic Party","Delisle","Jean","François","24","Quebec","Male"
"423",24047,"Mégantic--L'Érable",88745,"Green Party of Canada","Gervais","Justin",NA,"24","Quebec","Male"
"424",24047,"Mégantic--L'Érable",88745,"Bloc Québécois","Provost","Virginie",NA,"24","Quebec","Female"
"425",24048,"Mirabel",103536,"Conservative Party of Canada","Ferguson","Gordon",NA,"24","Quebec","Male"
"426",24048,"Mirabel",103536,"New Democratic Party","Freeman","Mylène",NA,"24","Quebec","Female"
"427",24048,"Mirabel",103536,"Green Party of Canada","Gifford","Jocelyn",NA,"24","Quebec","Female"
"428",24048,"Mirabel",103536,"Bloc Québécois","Marcil","Simon",NA,"24","Quebec","Male"
"429",24048,"Mirabel",103536,"Liberal Party of Canada","Trudel","Karl",NA,"24","Quebec","Male"
"430",24049,"Montarville",95095,"Green Party of Canada","Adam","Olivier",NA,"24","Quebec","Male"
"431",24049,"Montarville",95095,"Conservative Party of Canada","Duranleau","Stéphane",NA,"24","Quebec","Female"
"432",24049,"Montarville",95095,"Bloc Québécois","Fournier","Catherine",NA,"24","Quebec","Female"
"433",24049,"Montarville",95095,"Libertarian Party of Canada","Leclair","Claude",NA,"24","Quebec","Male"
"434",24049,"Montarville",95095,"Liberal Party of Canada","Picard","Michel",NA,"24","Quebec","Male"
"435",24049,"Montarville",95095,"New Democratic Party","Sellah","Djaouida",NA,"24","Quebec","Female"
"436",24050,"Montcalm",99518,"Green Party of Canada","Ang","Yumi","Mei","24","Quebec","Female"
"437",24050,"Montcalm",99518,"Conservative Party of Canada","DesRoches","Gisèle",NA,"24","Quebec","Female"
"438",24050,"Montcalm",99518,"New Democratic Party","Leclerc","Martin",NA,"24","Quebec","Male"
"439",24050,"Montcalm",99518,"Forces et Démocratie","Perreault","Manon",NA,"24","Quebec","Female"
"440",24050,"Montcalm",99518,"Bloc Québécois","Thériault","Luc",NA,"24","Quebec","Male"
"441",24050,"Montcalm",99518,"Liberal Party of Canada","Thouin","Louis","Charles","24","Quebec","Male"
"442",24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",97261,"Green Party of Canada","Breton","Chantal",NA,"24","Quebec","Female"
"443",24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",97261,"Rhinoceros Party","Gagné","Bien","Gras","24","Quebec","Male"
"444",24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",97261,"Bloc Québécois","Gagnon","Louis",NA,"24","Quebec","Male"
"445",24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",97261,"Conservative Party of Canada","Généreux","Bernard",NA,"24","Quebec","Male"
"446",24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",97261,"New Democratic Party","Lapointe","François",NA,"24","Quebec","Male"
"447",24051,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup",97261,"Liberal Party of Canada","Normand","Marie","Josée","24","Quebec","Female"
"448",24052,"Mount Royal",101258,"Bloc Québécois","Bossé Bélanger","Jade",NA,"24","Quebec","Female"
"449",24052,"Mount Royal",101258,"Liberal Party of Canada","Housefather","Anthony",NA,"24","Quebec","Male"
"450",24052,"Mount Royal",101258,"Marxist-Leninist Party of Canada","Johnston","Diane",NA,"24","Quebec","Female"
"451",24052,"Mount Royal",101258,"Green Party of Canada","Landry","Timothy",NA,"24","Quebec","Male"
"452",24052,"Mount Royal",101258,"Conservative Party of Canada","Libman","Robert",NA,"24","Quebec","Male"
"453",24052,"Mount Royal",101258,"New Democratic Party","Rimbao","Mario","Jacinto","24","Quebec","Male"
"454",24053,"Notre-Dame-de-Grâce--Westmount",104410,"Independent","Cahn","Lisa","Julie","24","Quebec","Female"
"455",24053,"Notre-Dame-de-Grâce--Westmount",104410,"Liberal Party of Canada","Garneau","Marc",NA,"24","Quebec","Male"
"456",24053,"Notre-Dame-de-Grâce--Westmount",104410,"Marxist-Leninist Party of Canada","Hoffman","Rachel",NA,"24","Quebec","Female"
"457",24053,"Notre-Dame-de-Grâce--Westmount",104410,"New Democratic Party","Hughes","James",NA,"24","Quebec","Male"
"458",24053,"Notre-Dame-de-Grâce--Westmount",104410,"Bloc Québécois","Quesnel","Simon",NA,"24","Quebec","Male"
"459",24053,"Notre-Dame-de-Grâce--Westmount",104410,"Conservative Party of Canada","Sagala","Richard",NA,"24","Quebec","Male"
"460",24053,"Notre-Dame-de-Grâce--Westmount",104410,"Green Party of Canada","Wheeler","Melissa","Kate","24","Quebec","Female"
"461",24054,"Outremont",100916,"Liberal Party of Canada","Bendayan","Rachel",NA,"24","Quebec","Female"
"462",24054,"Outremont",100916,"Green Party of Canada","Diallo","Amara",NA,"24","Quebec","Female"
"463",24054,"Outremont",100916,"Bloc Québécois","Galland Barou","Roger",NA,"24","Quebec","Male"
"464",24054,"Outremont",100916,"Conservative Party of Canada","Husny","Rodolphe",NA,"24","Quebec","Male"
"465",24054,"Outremont",100916,"New Democratic Party","Mulcair","Tom",NA,"24","Quebec","Male"
"466",24054,"Outremont",100916,"Libertarian Party of Canada","Pouliot","Francis",NA,"24","Quebec","Male"
"467",24054,"Outremont",100916,"Communist Party of Canada","Welsh","Adrien",NA,"24","Quebec","Male"
"468",24055,"Papineau",108977,"No Affiliation","Bernardo","Beverly",NA,"24","Quebec","Female"
"469",24055,"Papineau",108977,"Bloc Québécois","Claveau","Maxime",NA,"24","Quebec","Male"
"470",24055,"Papineau",108977,"Rhinoceros Party","Gaudet","Tommy",NA,"24","Quebec","Male"
"471",24055,"Papineau",108977,"New Democratic Party","Lagacé Dowson","Anne",NA,"24","Quebec","Female"
"472",24055,"Papineau",108977,"Independent","Lloyd","Chris",NA,"24","Quebec","Male"
"473",24055,"Papineau",108977,"Marxist-Leninist Party of Canada","Macrisopoulos","Peter",NA,"24","Quebec","Male"
"474",24055,"Papineau",108977,"Green Party of Canada","Polifroni","Danny",NA,"24","Quebec","Male"
"475",24055,"Papineau",108977,"Liberal Party of Canada","Trudeau","Justin",NA,"24","Quebec","Male"
"476",24055,"Papineau",108977,"Conservative Party of Canada","Vadnais","Yvon",NA,"24","Quebec","Male"
"477",24055,"Papineau",108977,"Independent","Waldron","Kim",NA,"24","Quebec","Female"
"478",24056,"Pierrefonds--Dollard",108740,"Conservative Party of Canada","Assouline","Valérie",NA,"24","Quebec","Female"
"479",24056,"Pierrefonds--Dollard",108740,"Liberal Party of Canada","Baylis","Frank",NA,"24","Quebec","Male"
"480",24056,"Pierrefonds--Dollard",108740,"New Democratic Party","Blanchette-Lamothe","Lysane",NA,"24","Quebec","Female"
"481",24056,"Pierrefonds--Dollard",108740,"Bloc Québécois","Laplante","Natalie",NA,"24","Quebec","Female"
"482",24056,"Pierrefonds--Dollard",108740,"Green Party of Canada","Weizfeld","Abraham",NA,"24","Quebec","Male"
"483",24057,"Pontiac",106499,"Liberal Party of Canada","Amos","William",NA,"24","Quebec","Male"
"484",24057,"Pontiac",106499,"Green Party of Canada","Griffiths","Colin",NA,"24","Quebec","Male"
"485",24057,"Pontiac",106499,"Marxist-Leninist Party of Canada","Lang","Louis",NA,"24","Quebec","Male"
"486",24057,"Pontiac",106499,"Bloc Québécois","Lepage","Nicolas",NA,"24","Quebec","Male"
"487",24057,"Pontiac",106499,"Forces et Démocratie","Médieu","Pascal",NA,"24","Quebec","Male"
"488",24057,"Pontiac",106499,"New Democratic Party","Ravignat","Mathieu",NA,"24","Quebec","Male"
"489",24057,"Pontiac",106499,"Conservative Party of Canada","Woodman","Benjamin",NA,"24","Quebec","Male"
"490",24058,"Portneuf--Jacques-Cartier",104394,"Liberal Party of Canada","Gauvin","David",NA,"24","Quebec","Male"
"491",24058,"Portneuf--Jacques-Cartier",104394,"Conservative Party of Canada","Godin","Joël",NA,"24","Quebec","Male"
"492",24058,"Portneuf--Jacques-Cartier",104394,"Bloc Québécois","Harvey","Raymond",NA,"24","Quebec","Male"
"493",24058,"Portneuf--Jacques-Cartier",104394,"New Democratic Party","Michaud","Élaine",NA,"24","Quebec","Female"
"494",24058,"Portneuf--Jacques-Cartier",104394,"Green Party of Canada","Morin","Johanne",NA,"24","Quebec","Female"
"495",24059,"Québec",96525,"Conservative Party of Canada","Asselin","Pierre","Thomas","24","Quebec","Male"
"496",24059,"Québec",96525,"Liberal Party of Canada","Duclos","Jean","Yves","24","Quebec","Male"
"497",24059,"Québec",96525,"Marxist-Leninist Party of Canada","Fournier","Normand",NA,"24","Quebec","Male"
"498",24059,"Québec",96525,"Bloc Québécois","Mordret","Charles",NA,"24","Quebec","Male"
"499",24059,"Québec",96525,"New Democratic Party","Papillon","Annick",NA,"24","Quebec","Female"
"500",24059,"Québec",96525,"Forces et Démocratie","Provost","Danielle",NA,"24","Quebec","Female"
"501",24059,"Québec",96525,"Green Party of Canada","Riboty","Philippe",NA,"24","Quebec","Male"
"502",24060,"Repentigny",111191,"New Democratic Party","Bellemare","Réjean",NA,"24","Quebec","Male"
"503",24060,"Repentigny",111191,"Forces et Démocratie","Cloutier","Johnathan",NA,"24","Quebec","Male"
"504",24060,"Repentigny",111191,"Liberal Party of Canada","Dudas","Adriana",NA,"24","Quebec","Female"
"505",24060,"Repentigny",111191,"Green Party of Canada","Gilbert","Yoland",NA,"24","Quebec","Female"
"506",24060,"Repentigny",111191,"Conservative Party of Canada","Lefebvre","Jonathan",NA,"24","Quebec","Male"
"507",24060,"Repentigny",111191,"Bloc Québécois","Pauzé","Monique",NA,"24","Quebec","Female"
"508",24061,"Richmond--Arthabaska",103897,"New Democratic Party","Beaulieu","Myriam",NA,"24","Quebec","Female"
"509",24061,"Richmond--Arthabaska",103897,"Green Party of Canada","Busque","Laurier",NA,"24","Quebec","Male"
"510",24061,"Richmond--Arthabaska",103897,"Liberal Party of Canada","Desmarais","Marc",NA,"24","Quebec","Male"
"511",24061,"Richmond--Arthabaska",103897,"Rhinoceros Party","Dubois","Antoine",NA,"24","Quebec","Male"
"512",24061,"Richmond--Arthabaska",103897,"Bloc Québécois","Nolin","Olivier",NA,"24","Quebec","Male"
"513",24061,"Richmond--Arthabaska",103897,"Conservative Party of Canada","Rayes","Alain",NA,"24","Quebec","Male"
"514",24062,"Rivière-des-Mille-Îles",102816,"Conservative Party of Canada","Gauthier","Érick",NA,"24","Quebec","Male"
"515",24062,"Rivière-des-Mille-Îles",102816,"Liberal Party of Canada","Lapointe","Linda",NA,"24","Quebec","Female"
"516",24062,"Rivière-des-Mille-Îles",102816,"New Democratic Party","Liu","Laurin",NA,"24","Quebec","Female"
"517",24062,"Rivière-des-Mille-Îles",102816,"Bloc Québécois","Pinel","Félix",NA,"24","Quebec","Male"
"518",24062,"Rivière-des-Mille-Îles",102816,"Independent","Quinteros","Luis",NA,"24","Quebec","Male"
"519",24062,"Rivière-des-Mille-Îles",102816,"Green Party of Canada","Ware","Alec",NA,"24","Quebec","Male"
"520",24063,"Rivière-du-Nord",102085,"Liberal Party of Canada","Bélair Rolland","Janice",NA,"24","Quebec","Female"
"521",24063,"Rivière-du-Nord",102085,"Rhinoceros Party","Côté","Fobozof","A.","24","Quebec","Male"
"522",24063,"Rivière-du-Nord",102085,"New Democratic Party","Dionne Labelle","Pierre",NA,"24","Quebec","Male"
"523",24063,"Rivière-du-Nord",102085,"Bloc Québécois","Fortin","Rhéal",NA,"24","Quebec","Male"
"524",24063,"Rivière-du-Nord",102085,"Green Party of Canada","Leckman","Joey",NA,"24","Quebec","Male"
"525",24063,"Rivière-du-Nord",102085,"Conservative Party of Canada","Vignol","Romain",NA,"24","Quebec","Male"
"526",24064,"Rosemont--La Petite-Patrie",106293,"Rhinoceros Party","Aglat","Laurent",NA,"24","Quebec","Male"
"527",24064,"Rosemont--La Petite-Patrie",106293,"Bloc Québécois","André","Claude",NA,"24","Quebec","Male"
"528",24064,"Rosemont--La Petite-Patrie",106293,"New Democratic Party","Boulerice","Alexandre",NA,"24","Quebec","Male"
"529",24064,"Rosemont--La Petite-Patrie",106293,"Marxist-Leninist Party of Canada","Chénier","Stéphane",NA,"24","Quebec","Female"
"530",24064,"Rosemont--La Petite-Patrie",106293,"Libertarian Party of Canada","d'Entremont","Peter",NA,"24","Quebec","Male"
"531",24064,"Rosemont--La Petite-Patrie",106293,"Conservative Party of Canada","Dohan","Jeremy",NA,"24","Quebec","Male"
"532",24064,"Rosemont--La Petite-Patrie",106293,"Liberal Party of Canada","Medawar","Nadine",NA,"24","Quebec","Female"
"533",24064,"Rosemont--La Petite-Patrie",106293,"Green Party of Canada","Muldeen","Sameer",NA,"24","Quebec","Male"
"534",24065,"Marc-Aurèle-Fortin",96082,"Bloc Québécois","Jasmin-Tremblay","Patrice",NA,"24","Quebec","Male"
"535",24065,"Marc-Aurèle-Fortin",96082,"New Democratic Party","Lemieux","Marie","Josée","24","Quebec","Female"
"536",24065,"Marc-Aurèle-Fortin",96082,"Conservative Party of Canada","Makridis","Nicolas",NA,"24","Quebec","Male"
"537",24065,"Marc-Aurèle-Fortin",96082,"Green Party of Canada","Mungur","Lorna",NA,"24","Quebec","Female"
"538",24065,"Marc-Aurèle-Fortin",96082,"Liberal Party of Canada","Robillard","Yves",NA,"24","Quebec","Male"
"539",24066,"Saint-Hyacinthe--Bagot",99629,"Green Party of Canada","Durand","Lise",NA,"24","Quebec","Female"
"540",24066,"Saint-Hyacinthe--Bagot",99629,"Bloc Québécois","Filion","Michel",NA,"24","Quebec","Male"
"541",24066,"Saint-Hyacinthe--Bagot",99629,"Conservative Party of Canada","Léveillé","Réjean",NA,"24","Quebec","Male"
"542",24066,"Saint-Hyacinthe--Bagot",99629,"Independent","Ménard","Ugo",NA,"24","Quebec","Male"
"543",24066,"Saint-Hyacinthe--Bagot",99629,"New Democratic Party","Sansoucy","Brigitte",NA,"24","Quebec","Female"
"544",24066,"Saint-Hyacinthe--Bagot",99629,"Liberal Party of Canada","Vincelette","René",NA,"24","Quebec","Male"
"545",24067,"Saint-Jean",108244,"Conservative Party of Canada","Guinta","Stéphane",NA,"24","Quebec","Female"
"546",24067,"Saint-Jean",108244,"Bloc Québécois","Hurtubise","Denis",NA,"24","Quebec","Male"
"547",24067,"Saint-Jean",108244,"New Democratic Party","Marotte","Hans",NA,"24","Quebec","Male"
"548",24067,"Saint-Jean",108244,"Green Party of Canada","Redivo","Marilyn",NA,"24","Quebec","Female"
"549",24067,"Saint-Jean",108244,"Liberal Party of Canada","Rioux","Jean",NA,"24","Quebec","Male"
"550",24068,"Saint-Laurent",93842,"New Democratic Party","Ackad","Alain",NA,"24","Quebec","Male"
"551",24068,"Saint-Laurent",93842,"Marxist-Leninist Party of Canada","Deschamps","Fernand",NA,"24","Quebec","Male"
"552",24068,"Saint-Laurent",93842,"Liberal Party of Canada","Dion","Stéphane",NA,"24","Quebec","Female"
"553",24068,"Saint-Laurent",93842,"Bloc Québécois","Dumas-Dubreuil","Pascal","Olivier","24","Quebec","Male"
"554",24068,"Saint-Laurent",93842,"Green Party of Canada","Tromp","John",NA,"24","Quebec","Male"
"555",24068,"Saint-Laurent",93842,"Conservative Party of Canada","Yu","Jimmy",NA,"24","Quebec","Male"
"556",24069,"Saint-Léonard--Saint-Michel",110649,"Liberal Party of Canada","Di Iorio","Nicola",NA,"24","Quebec","Female"
"557",24069,"Saint-Léonard--Saint-Michel",110649,"New Democratic Party","Filato","Rosannie",NA,"24","Quebec","Female"
"558",24069,"Saint-Léonard--Saint-Michel",110649,"Conservative Party of Canada","Fournier","Jean","Philippe","24","Quebec","Male"
"559",24069,"Saint-Léonard--Saint-Michel",110649,"Bloc Québécois","Gendron","Steeve",NA,"24","Quebec","Male"
"560",24069,"Saint-Léonard--Saint-Michel",110649,"Marxist-Leninist Party of Canada","Malek","Arezki",NA,"24","Quebec","Male"
"561",24069,"Saint-Léonard--Saint-Michel",110649,"Green Party of Canada","Miscione","Melissa",NA,"24","Quebec","Female"
"562",24070,"Saint-Maurice--Champlain",110273,"Marxist-Leninist Party of Canada","Bédard","Jean","Paul","24","Quebec","Male"
"563",24070,"Saint-Maurice--Champlain",110273,"Bloc Québécois","Carignan Deschamps","Sacki",NA,"24","Quebec","Female"
"564",24070,"Saint-Maurice--Champlain",110273,"Liberal Party of Canada","Champagne","François","Philippe","24","Quebec","Male"
"565",24070,"Saint-Maurice--Champlain",110273,"Conservative Party of Canada","Grenier","Jacques",NA,"24","Quebec","Male"
"566",24070,"Saint-Maurice--Champlain",110273,"Green Party of Canada","Toupin","Martial",NA,"24","Quebec","Male"
"567",24070,"Saint-Maurice--Champlain",110273,"New Democratic Party","Tremblay","Jean","Yves","24","Quebec","Male"
"568",24071,"Salaberry--Suroît",107036,"Bloc Québécois","DeBellefeuille","Claude",NA,"24","Quebec","Male"
"569",24071,"Salaberry--Suroît",107036,"Conservative Party of Canada","De Martin","Albert",NA,"24","Quebec","Male"
"570",24071,"Salaberry--Suroît",107036,"Forces et Démocratie","Domingos","Patricia",NA,"24","Quebec","Female"
"571",24071,"Salaberry--Suroît",107036,"Independent","Larocque","Sylvain",NA,"24","Quebec","Male"
"572",24071,"Salaberry--Suroît",107036,"New Democratic Party","Quach","Anne","Thu","24","Quebec","Female"
"573",24071,"Salaberry--Suroît",107036,"Liberal Party of Canada","Sauvé","Robert",NA,"24","Quebec","Male"
"574",24071,"Salaberry--Suroît",107036,"Green Party of Canada","Socrates","Nicola","Silverado","24","Quebec","Female"
"575",24072,"Shefford",107538,"Bloc Québécois","Beaudoin","Jocelyn",NA,"24","Quebec","Female"
"576",24072,"Shefford",107538,"Liberal Party of Canada","Breton","Pierre",NA,"24","Quebec","Male"
"577",24072,"Shefford",107538,"Conservative Party of Canada","Fontaine","Sylvie",NA,"24","Quebec","Female"
"578",24072,"Shefford",107538,"New Democratic Party","Mailhot","Claire",NA,"24","Quebec","Female"
"579",24072,"Shefford",107538,"Green Party of Canada","McMillan","Simon",NA,"24","Quebec","Male"
"580",24073,"Sherbrooke",107988,"Liberal Party of Canada","Allen","Thomas","''Tom''","24","Quebec","Male"
"581",24073,"Sherbrooke",107988,"Bloc Québécois","Bouchard","Caroline",NA,"24","Quebec","Female"
"582",24073,"Sherbrooke",107988,"Conservative Party of Canada","Dauphin","Marc",NA,"24","Quebec","Male"
"583",24073,"Sherbrooke",107988,"New Democratic Party","Dusseault","Pierre","Luc","24","Quebec","Male"
"584",24073,"Sherbrooke",107988,"Independent","Huberdeau","Benoit",NA,"24","Quebec","Male"
"585",24073,"Sherbrooke",107988,"Green Party of Canada","Malouin","Sophie",NA,"24","Quebec","Female"
"586",24073,"Sherbrooke",107988,"Rhinoceros Party","Richard","Hubert",NA,"24","Quebec","Male"
"587",24074,"Vaudreuil--Soulanges",111905,"Conservative Party of Canada","Boudreau","Marc",NA,"24","Quebec","Male"
"588",24074,"Vaudreuil--Soulanges",111905,"Bloc Québécois","François","Vincent",NA,"24","Quebec","Male"
"589",24074,"Vaudreuil--Soulanges",111905,"Green Party of Canada","Kaszel","Jennifer",NA,"24","Quebec","Female"
"590",24074,"Vaudreuil--Soulanges",111905,"New Democratic Party","Nicholls","Jamie",NA,"24","Quebec","Female"
"591",24074,"Vaudreuil--Soulanges",111905,"Liberal Party of Canada","Schiefke","Peter",NA,"24","Quebec","Male"
"592",24075,"Terrebonne",106322,"Liberal Party of Canada","Audette","Michèle",NA,"24","Quebec","Female"
"593",24075,"Terrebonne",106322,"New Democratic Party","Borg","Charmaine",NA,"24","Quebec","Female"
"594",24075,"Terrebonne",106322,"Bloc Québécois","Boudrias","Michel",NA,"24","Quebec","Male"
"595",24075,"Terrebonne",106322,"Green Party of Canada","Moen","Susan",NA,"24","Quebec","Female"
"596",24075,"Terrebonne",106322,"Forces et Démocratie","Sénat","Louis","Clément","24","Quebec","Male"
"597",24075,"Terrebonne",106322,"Conservative Party of Canada","Surprenant","Michel",NA,"24","Quebec","Male"
"598",24076,"Trois-Rivières",108774,"New Democratic Party","Aubin","Robert",NA,"24","Quebec","Male"
"599",24076,"Trois-Rivières",108774,"Liberal Party of Canada","Boivin","Yvon",NA,"24","Quebec","Male"
"600",24076,"Trois-Rivières",108774,"Libertarian Party of Canada","Rousseau","Maxime",NA,"24","Quebec","Male"
"601",24076,"Trois-Rivières",108774,"Conservative Party of Canada","Therrien","Dominic",NA,"24","Quebec","Male"
"602",24076,"Trois-Rivières",108774,"Green Party of Canada","Trottier","Éric",NA,"24","Quebec","Male"
"603",24076,"Trois-Rivières",108774,"Bloc Québécois","Valois","André",NA,"24","Quebec","Male"
"604",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",103070,"Green Party of Canada","Green","Daniel",NA,"24","Quebec","Male"
"605",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",103070,"Liberal Party of Canada","Miller","Marc",NA,"24","Quebec","Male"
"606",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",103070,"Conservative Party of Canada","Shanahan","Steve",NA,"24","Quebec","Male"
"607",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",103070,"Communist Party of Canada","Sloan","William",NA,"24","Quebec","Male"
"608",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",103070,"Bloc Québécois","St-Onge","Chantal",NA,"24","Quebec","Female"
"609",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",103070,"New Democratic Party","Turner","Allison",NA,"24","Quebec","Female"
"610",24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",103070,"Rhinoceros Party","Wolfe","Daniel",NA,"24","Quebec","Male"
"611",24078,"Vimy",104373,"New Democratic Party","Duhamel","France",NA,"24","Quebec","Female"
"612",24078,"Vimy",104373,"Christian Heritage Party of Canada","Jenkins","Brian",NA,"24","Quebec","Male"
"613",24078,"Vimy",104373,"Bloc Québécois","Kaddouri","Barek",NA,"24","Quebec","Male"
"614",24078,"Vimy",104373,"Conservative Party of Canada","Mavros","Anthony",NA,"24","Quebec","Male"
"615",24078,"Vimy",104373,"Liberal Party of Canada","Nassif","Eva",NA,"24","Quebec","Female"
"616",24078,"Vimy",104373,"Green Party of Canada","Núñez Melo","José",NA,"24","Quebec","Male"
"617",35001,"Ajax",109600,"Conservative Party of Canada","Alexander","Chris",NA,"35","Ontario","Male"
"618",35001,"Ajax",109600,"New Democratic Party","Brown","Stephanie",NA,"35","Ontario","Female"
"619",35001,"Ajax",109600,"Green Party of Canada","Hill","Jeff",NA,"35","Ontario","Male"
"620",35001,"Ajax",109600,"Liberal Party of Canada","Holland","Mark",NA,"35","Ontario","Male"
"621",35001,"Ajax",109600,"United Party of Canada","Kesic","Bob",NA,"35","Ontario","Male"
"622",35002,"Algoma--Manitoulin--Kapuskasing",79801,"New Democratic Party","Hughes","Carol",NA,"35","Ontario","Female"
"623",35002,"Algoma--Manitoulin--Kapuskasing",79801,"Green Party of Canada","Orok","Calvin","John","35","Ontario","Male"
"624",35002,"Algoma--Manitoulin--Kapuskasing",79801,"Conservative Party of Canada","Robichaud","André",NA,"35","Ontario","Male"
"625",35002,"Algoma--Manitoulin--Kapuskasing",79801,"Liberal Party of Canada","Wilson","Heather",NA,"35","Ontario","Female"
"626",35003,"Aurora--Oak Ridges--Richmond Hill",106064,"Liberal Party of Canada","Alleslev","Leona",NA,"35","Ontario","Female"
"627",35003,"Aurora--Oak Ridges--Richmond Hill",106064,"Animal Alliance Environment Voters Party of Canada","Bowles","Kyle",NA,"35","Ontario","Male"
"628",35003,"Aurora--Oak Ridges--Richmond Hill",106064,"Conservative Party of Canada","Menegakis","Costas",NA,"35","Ontario","Male"
"629",35003,"Aurora--Oak Ridges--Richmond Hill",106064,"New Democratic Party","Power","Brenda",NA,"35","Ontario","Female"
"630",35003,"Aurora--Oak Ridges--Richmond Hill",106064,"Green Party of Canada","Ramdeen","Randi",NA,"35","Ontario","Female"
"631",35004,"Barrie--Innisfil",101584,"Conservative Party of Canada","Brassard","John",NA,"35","Ontario","Male"
"632",35004,"Barrie--Innisfil",101584,"New Democratic Party","Clark","Myrna",NA,"35","Ontario","Female"
"633",35004,"Barrie--Innisfil",101584,"Christian Heritage Party of Canada","Nail","Gary",NA,"35","Ontario","Male"
"634",35004,"Barrie--Innisfil",101584,"Green Party of Canada","North","Bonnie",NA,"35","Ontario","Female"
"635",35004,"Barrie--Innisfil",101584,"Canadian Action Party","Sakula","Jeff",NA,"35","Ontario","Male"
"636",35004,"Barrie--Innisfil",101584,"Liberal Party of Canada","Wilson","Colin",NA,"35","Ontario","Male"
"637",35005,"Barrie--Springwater--Oro-Medonte",97876,"Independent","Faerber","Ram",NA,"35","Ontario","Male"
"638",35005,"Barrie--Springwater--Oro-Medonte",97876,"Green Party of Canada","Lancaster","Marty",NA,"35","Ontario","Male"
"639",35005,"Barrie--Springwater--Oro-Medonte",97876,"Conservative Party of Canada","Nuttall","Alex",NA,"35","Ontario","Male"
"640",35005,"Barrie--Springwater--Oro-Medonte",97876,"Libertarian Party of Canada","Roskam","Darren",NA,"35","Ontario","Male"
"641",35005,"Barrie--Springwater--Oro-Medonte",97876,"Liberal Party of Canada","Tamblyn","Brian",NA,"35","Ontario","Male"
"642",35005,"Barrie--Springwater--Oro-Medonte",97876,"New Democratic Party","White","Ellen",NA,"35","Ontario","Female"
"643",35006,"Bay of Quinte",109488,"New Democratic Party","Cassidy","Terry",NA,"35","Ontario","Male"
"644",35006,"Bay of Quinte",109488,"Liberal Party of Canada","Ellis","Neil",NA,"35","Ontario","Male"
"645",35006,"Bay of Quinte",109488,"Conservative Party of Canada","Jenkins","Jodie",NA,"35","Ontario","Female"
"646",35006,"Bay of Quinte",109488,"Green Party of Canada","Nelems","Rachel",NA,"35","Ontario","Female"
"647",35006,"Bay of Quinte",109488,"Independent","Tuck","Trueman",NA,"35","Ontario","Male"
"648",35007,"Beaches--East York",107084,"Conservative Party of Canada","Burrows","Bill",NA,"35","Ontario","Male"
